trajectory_id,x0,v0,t,x_clean,v_clean,x,v
0,-0.502,0.939,0.0,-0.502,0.939,-0.5019129529317619,0.9374434181013402
0,-0.502,0.939,0.01001001001001001,-0.492353947024408,0.9881225668996183,-0.49265295437487383,0.9876944517386524
0,-0.502,0.939,0.02002002002002002,-0.48222102698655467,1.0362680230546986,-0.48212926621001917,1.0377687828453328
0,-0.502,0.939,0.03003003003003003,-0.4716112598833251,1.0833887595510825,-0.473598828797926,1.084238981293196
0,-0.502,0.939,0.04004004004004004,-0.4605351372445963,1.1294381807746037,-0.46075480913243383,1.1290895286401958
0,-0.502,0.939,0.050050050050050046,-0.4490036117586275,1.1743707504874308,-0.4486464991871158,1.1740214927831123
0,-0.502,0.939,0.06006006006006006,-0.43702808644143015,1.2181420368568419,-0.43555019239668863,1.2178204018056245
0,-0.502,0.939,0.07007007007007007,-0.4246204033608295,1.260708756391899,-0.4251386735791032,1.2627855043754599
0,-0.502,0.939,0.08008008008008008,-0.41179283192636706,1.3020288167445815,-0.41260132552926027,1.3024107521968131
0,-0.502,0.939,0.09009009009009009,-0.3985580567566234,1.3420613583330476,-0.39905981380020794,1.3424913999802386
0,-0.502,0.939,0.10010010010010009,-0.38492916513595965,1.3807667947458702,-0.38401376301825757,1.381797078199902
0,-0.502,0.939,0.11011011011011011,-0.37091963407307993,1.4181068518872895,-0.37059088296342024,1.418345641046316
0,-0.502,0.939,0.12012012012012012,-0.35654331697421326,1.4540446058247751,-0.3570730771779803,1.4537855636789545
0,-0.502,0.939,0.13013013013013014,-0.34181442994409217,1.488544519301472,-0.3413011625109788,1.488348169452387
0,-0.502,0.939,0.14014014014014015,-0.3267475377282748,1.5215724768774221,-0.32665046017892674,1.5215008756180082
0,-0.502,0.939,0.15015015015015015,-0.3113575393107117,1.553095818664817,-0.3103888943201788,1.553058596428307
0,-0.502,0.939,0.16016016016016016,-0.2956596531807989,1.5830833726239162,-0.29636170627467623,1.583811002167553
0,-0.502,0.939,0.17017017017017017,-0.2796694022844863,1.6115054853877013,-0.2799970644310841,1.6115574312735086
0,-0.502,0.939,0.18018018018018017,-0.26340259867432214,1.6383340515847795,-0.2637947068274543,1.6390666916619951
0,-0.502,0.939,0.19019019019019018,-0.24687532787361316,1.6635425416315432,-0.2483388428217453,1.6634618250514346
0,-0.502,0.939,0.20020020020020018,-0.23010393297016118,1.6871060279661036,-0.2298078126930966,1.6871846631564198
0,-0.502,0.939,0.21021021021021022,-0.21310499845530578,1.7090012096980551,-0.21284394318312588,1.707003009013523
0,-0.502,0.939,0.22022022022022023,-0.19589533382425378,1.7292064356496955,-0.19589022036761133,1.7301227633243978
0,-0.502,0.939,0.23023023023023023,-0.17849195695391196,1.7477017257659193,-0.1787265440872871,1.7480482142418172
0,-0.502,0.939,0.24024024024024024,-0.1609120772746607,1.764468790871612,-0.16232744801671112,1.7654668009814716
0,-0.502,0.939,0.2502502502502503,-0.14317307875270863,1.7794910507570059,-0.143593724075474,1.7765947953788122
0,-0.502,0.939,0.2602602602602603,-0.12529250269985684,1.7927536505731176,-0.1256352172163836,1.7948420252778983
0,-0.502,0.939,0.2702702702702703,-0.10728803042767035,1.8042434755210524,-0.10809030769689197,1.8041038858928973
0,-0.502,0.939,0.2802802802802803,-0.0891774657632107,1.8139491638206477,-0.08933875147487672,1.8150573466373852
0,-0.502,0.939,0.2902902902902903,-0.07097871744361793,1.821861117945637,-0.07057466658680339,1.8208212120185114
0,-0.502,0.939,0.3003003003003003,-0.05270978140695181,1.8279715141142183,-0.05082359550574128,1.8285842880192809
0,-0.502,0.939,0.3103103103103103,-0.03438872299680387,1.8322743100256471,-0.03421414518397203,1.8312208944624735
0,-0.502,0.939,0.3203203203203203,-0.016033659098277385,1.8347652508352001,-0.01577610870755462,1.8341414818745043
0,-0.502,0.939,0.3303303303303303,0.0023372597769997713,1.8354418733616034,0.002262813861233604,1.8373559047154702
0,-0.502,0.939,0.34034034034034033,0.020705867439114047,1.8343035085227628,0.018787096223815004,1.8341128261219994
0,-0.502,0.939,0.35035035035035034,0.03905399998360871,1.8313512819973905,0.03902748610815949,1.8315687148705702
0,-0.502,0.939,0.36036036036036034,0.05736351375296633,1.8265881131118709,0.05742374396290736,1.8274581808425596
0,-0.502,0.939,0.37037037037037035,0.07561630327807001,1.8200187119534672,0.0780795453905553,1.8205143938414399
0,-0.502,0.939,0.38038038038038036,0.09379431918190173,1.8116495747127248,0.09360195821712061,1.8117999936178684
0,-0.502,0.939,0.39039039039039036,0.11187958602777376,1.8014889772596752,0.11218113337010738,1.8018539382621415
0,-0.502,0.939,0.40040040040040037,0.12985422009444367,1.7895469669601936,0.12981950832473843,1.791950382545432
0,-0.502,0.939,0.41041041041041043,0.14770044706053614,1.7758353527406032,0.14653176902291662,1.7757777339435696
0,-0.502,0.939,0.42042042042042044,0.16540061958078364,1.7603676934103496,0.16654344239529867,1.7605687924570645
0,-0.502,0.939,0.43043043043043044,0.18293723473670684,1.743159284254293,0.18368916776939362,1.7442099386503005
0,-0.502,0.939,0.44044044044044045,0.200292951344477,1.724227141907877,0.20108398329152005,1.725332667840835
0,-0.502,0.939,0.45045045045045046,0.21745060710284644,1.7035899875301297,0.2165412196480517,1.70477701783569
0,-0.502,0.939,0.46046046046046046,0.2343932355641899,1.6812682282911366,0.235796029875126,1.6819069585131659
